2026-04-18 13:08:27 | INFO | db.migrator | User migration completed
2026-04-18 13:08:27 | WARNING | db.migrator | Skip customer KH2302 during migration: CMND/CCCD không hợp lệ (9-12 chữ số).
2026-04-18 13:08:27 | WARNING | db.migrator | Skip customer KH6933 during migration: CMND/CCCD không hợp lệ (9-12 chữ số).
2026-04-18 13:08:27 | INFO | db.migrator | Customer migration completed: 15 records
2026-04-18 13:33:03 | INFO | controllers.auth_controller | Đăng nhập thành công: admin (admin)
2026-04-19 11:00:53 | INFO | controllers.auth_controller | Đăng nhập thành công: admin (admin)
2026-04-19 11:09:07 | INFO | controllers.auth_controller | Đăng nhập thành công: admin (admin)
2026-04-19 11:15:52 | INFO | controllers.auth_controller | Đăng nhập thành công: admin (admin)
2026-04-19 12:00:16 | INFO | controllers.auth_controller | Đăng nhập thành công: admin (admin)
2026-04-19 12:02:56 | INFO | controllers.auth_controller | Đăng nhập thành công: admin (admin)
2026-04-19 12:03:28 | INFO | controllers.auth_controller | Đăng nhập thành công: admin (admin)
2026-04-19 12:10:58 | INFO | controllers.auth_controller | Đăng nhập thành công: admin (admin)
2026-04-19 12:24:16 | INFO | controllers.auth_controller | Đăng nhập thành công: admin (admin)
